news,class
espaço dedicado para os eleitores do bolsonaro explicarem a retirada da insulina do sus.,0
"vos apresento a funcionária protegida pela globo, miriam terrorista comunista leitão! vulgo amélia.",0
você sabia que benedita da silva já foi embaixadora em news york e nem inglês falava! elá lembrado do escândalo do aluguel da limusine nos usa por benedita percebo que a petralhada tem uma síndrome do esquecimento oportuno! mas nós estamos ajudando a lembrar!,0
quem  a mulher que empurrou o padre marcelo rossi,0
"as crueldades da reforma da previdênciapessoas com síndrome de down, autismo, esquizofrenia e transtornos considerados de moderados a médio perdem o direito a pensão após morte de pais ou responsáveis.",0
"aprovada a redução do pis de r$ 998,00 para r$ 468,00. parabéns trabalhador e pobre que votou e pediu para se ferrar. faz arminha!",0
"câncer no seio não precisa mais fazer cirurgia. presidente bolsonaro vai autorizar a importação dessa tecnologia de israel. embora chamado de machista, foi o único presidente que se lembrou em primeiro lugar das mulheres vamos divulgar!",0
"vc sabia que a zélia cardoso, antes de ser ministra, foi embaixadora do brasil, nos eua, sem falar inglês não, vc não se preocupava com o brasil antigamente. só agora, já que ele está sendo colocado nos trilhos!",0
achado petróleo no mato grosso para 80 anos de consumo e pode agora nosso combustível reduzir para 2.70 o litro vamos divulgar valeu bolsonaro....,0
"só para lembrar, o pt nomeou embaixador nos eua o aloísio nunez. ex motorista do terrorista assassino marighella.",0
"ué, não foi esse tal de glauber braga que chamou moro de ladro então, quer dizer que além de bater em mulher, ele ameaçava liberar fotos íntimas, segundo a feminazi lelis patricia",0
tite fala em entrevista à globo: eleitores de bolsonaro são alienados,0
sergio moro quando era juiz cobrava r$ 80 mil dólares pra arquivar processos de narcotraficante. tá na veja página 35.,0
"tá aí o dono da revista veja, andré esteves, preso pela operação lava jato.",0
jean wyllys: não foi isso o acordo @ggreenwald [...],0
esse é o deputado que chamou moro de ladrão,0
"em meio a ataques na câmara, sérgio moro dispara: se eu falar a verdade vou ter que prender todos e fechar o congresso!",0
"durante os governos lula, dilma e temer, os aviões que transportavam homens da comitiva presidencial, bem como a tripulação, não tinham a permissão do itamaraty para serem revistados. o sargento que foi preso na espanha com 39 kg de cocaína em seu container de mão, já havia participado em de 56 voos de preparação do presidente lula, 52 da presidenta dilma e 2 do temer. só foi preso agora porque sem comunicação prévia, o governo bolsonaro retirou a inviolabilidade de bagagens diplomáticas nas comitivas presidenciais. isso a imprensa não informa.",0
maria do rosário e a esquerda iniciam namoro com mbl.,0
olha quem está ao lado do queiroz nesse almoço: o sargento dos 39 kg.,0
"quê que é isso, brasiiiiiiiiiiiiiiil",0
"sem nudez, sem drogas, sem vandalismo. pátria amada brasil.",0
sergio moro é bom pra burro!,0
quem foi que disse que #bolsonaro ficaria isolado no g20,0
militar preso com os 39 quilos de cocaína em avião presidencial. só coincidência.,0
"sargento manoel silva rodrigues da comitiva do bozo, preso pelo tráfico de drogas na espanha, é pastor evangélico filiado ao psl.",0
militar preso da fab. o militar detido por drogas é filiado ao pt. pronto! resolvido o mistério.,0
olha o motivo porque a deputada flordelis adotou mais de 50 crianças e todas maiores de 12 anos....5 salários pra casa uma das 51 crianças. entenderam o aparelhamento da esquerda tirem suas conclusões.,0
"em áudio, moro diz: será esse imbecil o presidente dallagnol responde: infelizmente esta ameba é a nossa única escolha [o bozo].",0
bombstico! grampo revela que lula queria o assassinato de palocci na priso udio é verdadeiro!,0
"a lava jato é uma árvore podre e deve ser anulada. todos os julgamentos e condenações, afirmou o senador da rede.",0
"acm morreu em julho de 2007, em um acidente de helicóptero. poucas semanas antes fez um pronunciamento na tribuna do senado, em plena vigência do 2 mandato de lula, que até hoje não havia sido divulgado. veja o que ele disse",0
"manifestação pacífica e democrática do pt, psol, cut #sqn.",0
governador do estado do maranhão substitui a bandeira nacional pela bandeira do partido comunista.,0
"policial é esfaqueada por grevista pró-lulamanifestante esquerdista agride pm feminina com uma facada no pescoçomanifestação em são paulo, baderneiro ataca policial com uma faca e atinge o pescoço, a policial passa bem. o vagabundo foi abatido.",0
onu prevê que toda a humanidade seja chipada até 2030 e quem recusar será excluído da sociedade,0
"comitê de direitos humanos manda soltar lésbicas que esquartejaram o menino rhuan, de nove anos",0
bolsonaro autoriza execução da dívida da globo de mais de r$ 1 bilhão de impostos sonegados,0
"urgente! a invasão já seria crime, agora o telegram confirma que o texto divulgado foi manipulado. atitudes imediatas, tirar o site do ar e prender glenn greenwald!",0
adelio bispo: o único brasileiro cujo sigilo telefônicobancário é protegido pela oab,0
funcionário do congresso registrando a presença dos deputados que não foram trabalhar,0
portal transparência mostra que gestão bolsonaro tem o maior orçamento para educação da história,0
"nosso problema é outro, o haddad, este vai ganhar força, vocês não conseguem fazer algo para impedir a candidatura",0
ele [glenn greenwald] e seu par sexual david miranda - psol são acusados de atentar contra a segurança pública do reino unido.,0
bolsonaro corta metade do fundeb e professores terão salários reduzidos,0
"déficit previdência: r$ 149,7 bilhões. dívidas de grandes empresas com o inss - r$ 426,07 bilhões. a culpa é do trabalhador",0
ator americano keanu reeves salva gatos da eutanásia,0
ciro gomes choca o brasil: reconheço que a esquerda e o centrão querem atrasar este país. a partir de hoje estou com bolsonaro.,0
"resumo das manifestações de hoje: 1% educação, 4% maconha, 5% não sabem porque estão ali, 90% lula livre.",0
"eu, jair messias bolsonaro, digo: filho de pobre tem tara por fazer faculdade. se não tem dinheiro pra pagar, não venha dar despesa para o governo. faça outra coisa da vida",0
da série bolsominions têm transtornos mentais.,0
"presidente, sua onestidade me basta.",0
"apoiamos: o fim da previdência e do ensino universitário! a entrega da embraer, da petrobras, do bb, cef, correios etc.",0
sou há favor dos corte na educassão governo já investi muinto.,0
"presidente, sua onestidade me basta.",0
o brasil é do povo brasileiro.,0
"&#39;sabemos que não é fácil, mas estamos com vocês. forca!&#39;",0
essa vai pra esquerdalha que diz que tem eleitor do bolsonaro arrependido. será,0
#brasilnasruas. vitória-es agora há pouco. capixabas mostrando os canalhas de sempre que eles não impedirão a reconstrução do país.,0
"ao ver pessoas aplaudindo bolsonaro no nordeste, me lembrei daquelas frases que diz, você pode dar banho no porco deixar ele limpinho que sempre ele vai querer voltar para a lama.",0
bolsonaro assina decreto que proíbe drogas em universidades e choca alunos.,0
a filha de marielle vai ganhar pensão até seus 21 anos. e o filho do motorista não!,0
melhor do dia! o #idiota inútil #bolsonaro assistiu no museu de dallas imagem do melhor #presidente do #brasil: #lula...olha a cara dele e do #pauloguedes de inveja e despeito,0
charge publicada na revista americana time. e de longe a melhor expressão que já vi sobre a nossa situação atual. parabéns ao criador.,0
policiais de 12 estados diz que vão parar em apoio à bolsonaro.,0
sérgio moro: meia dúzia de estudantes despreparados não vão atrapalhar o governo.,0
"motivos da greve: 60% lula livre, 20% lacrar, 19% baderna e 1% corte de verbas.",0
a greve da educação tem dois objetivos: gritar: fora bolsonaro e lula livre.,0
o fardamento das universidades públicas.,0
"por pressão da bancada evangélica, lei maria da penha será revogada pela ministra damares.",0
"essa imagens são de um filme novo da disney para crianças, vamos ficar ligados, envie nos grupos do whatsapp e seus amigos no face para alertar as famílias.",0
"o pt é tão sacana, que até o padre que foi visitar lula era falso! kkkk falso padre detido depois de visitar lula. ninguém ainda explicou quais as verdadeiras intenções do falso padre que entrou para visitar lula; rubens miguel da silva, de 27 anos, que já foi preso anteriormente por tráfico e por agredir dois oficiais da reserva em frente ao clube militar, tem registradas, apenas em 2018, vinte e quatro viagens internacionais para cuba e venezuela!",0
"fernando haddad: maduro, para mim, é um exemplo e inspiração. há problemas na venezuela há. mas a culpa é da oposição que não colabora.",0
alunos de uma universidade federal criam ateliê de arte anal. não quero nem imaginar como ele colocou essa tinta aí,0
"aos mal informados, isto é uma mostra de uma pequena quantidade de pinos de crack e cocaína recolhidos na área da universidade federal do espírito santo. será que alguém ainda acha que as atitudes do governo são um &#39;equívoco&#39;",0
como será que o povo de brumadinho se sente sabendo que bozo doou mais de r$ 200 milhões para guaidó na venezuela,0
"em 10 anos, na ufrj, r$ 500 milhões evaporaram, ninguém sabe, ninguém viu. roubaram, no mínimo, no barato, r$ 500 milhões.",0
"pessoal, leia isso: conheço uma pessoa na secretaria de educação do df. esses dias teve um curso obrigatório para todos os professores. não tiveram aulas para as crianças, porque os professores estariam em curso de formação. chegando lá, não foi permitida a entrada com celular. passaram o dia inteirinho, do curso, ensinando como atrapalhar ao máximo o governo bolsonaro ....",0
"prestem muita atenção! esse é frei betto, irmão de lula. veja o que ele disse.",0
brasil terá o inverno mais frio dos últimos 100 anos.,0
"na alemanha o governo subiu preço de combustível. em apenas uma hora de tempo as pessoas abandonaram seus carros nas ruas e avenidas e foram a pé para casa. mais de um milhão de carros abandonados. tiveram que baixar o preço. quando o povo é inteligente, os corruptos não conseguem concretizar seus objetivos.",0
narcotrfico & comunismo. em 2015 eu postei esta foto que foi retirada pelo facebook que disse que a foto estava denegrindo a imagem da presidente dilma. hoje com a delação do palocci confirmando as ligações do narcotráfico com financiamento das campanhas dos políticos comunistas; eu volto a postar a dita foto que em 2015 foi censurada. será que serei censurado pela censura comunista com prova,0
